policy,K,N,two_rooms,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
never_ask,3,7,True,2,5,True,10,0,1.0,10.0
never_ask,3,7,True,2,6,True,2,0,0.0,2.0
never_ask,3,7,True,2,7,False,12,0,5.0,12.0
never_ask,3,7,True,2,8,True,3,0,0.0,3.0
never_ask,3,7,True,2,9,True,7,0,3.0,7.0
never_ask,3,7,True,2,10,True,5,0,2.0,5.0
never_ask,3,7,True,2,11,True,3,0,0.0,3.0
never_ask,3,7,True,2,12,True,8,0,2.0,8.0
never_ask,3,7,True,2,13,True,10,0,2.0,10.0
never_ask,3,7,True,2,14,False,9,0,5.0,9.0
never_ask,3,7,True,2,15,True,2,0,0.0,2.0
never_ask,3,7,True,2,16,True,12,0,5.0,12.0
never_ask,3,7,True,2,17,True,6,0,1.0,6.0
never_ask,3,7,True,2,18,True,7,0,0.0,7.0
never_ask,3,7,True,2,19,True,5,0,2.0,5.0
never_ask,3,7,True,3,0,True,6,0,1.0,6.0
never_ask,3,7,True,3,1,True,5,0,2.0,5.0
never_ask,3,7,True,3,2,True,8,0,3.0,8.0
never_ask,3,7,True,3,3,True,6,0,1.0,6.0
never_ask,3,7,True,3,4,True,3,0,0.0,3.0
never_ask,3,7,True,3,5,True,5,0,0.0,5.0
never_ask,3,7,True,3,6,True,10,0,3.0,10.0
never_ask,3,7,True,3,7,False,10,0,5.0,10.0
never_ask,3,7,True,3,8,True,6,0,3.0,6.0
never_ask,3,7,True,3,9,True,10,0,4.0,10.0
never_ask,3,7,True,3,10,True,6,0,3.0,6.0
never_ask,3,7,True,3,11,True,5,0,0.0,5.0
never_ask,3,7,True,3,12,True,10,0,4.0,10.0
never_ask,3,7,True,3,13,False,12,0,5.0,12.0
never_ask,3,7,True,3,14,True,4,0,1.0,4.0
never_ask,3,7,True,3,15,True,6,0,0.0,6.0
never_ask,3,7,True,3,16,True,8,0,1.0,8.0
never_ask,3,7,True,3,17,True,7,0,1.0,7.0
never_ask,3,7,True,3,18,True,4,0,1.0,4.0
never_ask,3,7,True,3,19,True,10,0,1.0,10.0
never_ask,3,7,True,4,0,True,11,0,2.0,11.0
never_ask,3,7,True,4,1,True,2,0,0.0,2.0
never_ask,3,7,True,4,2,True,4,0,1.0,4.0
