policy,K,beta,rep_seed,episode_id,success,steps,questions_asked,team_cost
info_gain_ask,3,2.0,1,15,True,7,1,7.5
info_gain_ask,3,2.0,1,16,True,5,1,5.5
info_gain_ask,3,2.0,1,17,True,4,1,4.5
info_gain_ask,3,2.0,1,18,True,10,2,11.0
info_gain_ask,3,2.0,1,19,True,6,2,7.0
info_gain_ask,3,2.0,2,0,True,7,2,8.0
info_gain_ask,3,2.0,2,1,False,11,1,11.5
info_gain_ask,3,2.0,2,2,True,6,1,6.5
info_gain_ask,3,2.0,2,3,True,5,2,6.0
info_gain_ask,3,2.0,2,4,True,15,2,16.0
info_gain_ask,3,2.0,2,5,False,12,2,13.0
info_gain_ask,3,2.0,2,6,True,9,1,9.5
info_gain_ask,3,2.0,2,7,True,10,1,10.5
info_gain_ask,3,2.0,2,8,True,9,1,9.5
info_gain_ask,3,2.0,2,9,True,10,2,11.0
info_gain_ask,3,2.0,2,10,True,9,2,10.0
info_gain_ask,3,2.0,2,11,True,7,1,7.5
info_gain_ask,3,2.0,2,12,True,6,2,7.0
info_gain_ask,3,2.0,2,13,True,5,1,5.5
info_gain_ask,3,2.0,2,14,True,8,1,8.5
info_gain_ask,3,2.0,2,15,True,7,1,7.5
info_gain_ask,3,2.0,2,16,True,5,1,5.5
info_gain_ask,3,2.0,2,17,False,13,2,14.0
info_gain_ask,3,2.0,2,18,True,9,2,10.0
info_gain_ask,3,2.0,2,19,True,3,1,3.5
info_gain_ask,3,2.0,3,0,True,5,2,6.0
info_gain_ask,3,2.0,3,1,True,4,2,5.0
info_gain_ask,3,2.0,3,2,True,4,1,4.5
info_gain_ask,3,2.0,3,3,True,6,2,7.0
info_gain_ask,3,2.0,3,4,True,14,1,14.5
info_gain_ask,3,2.0,3,5,True,14,1,14.5
info_gain_ask,3,2.0,3,6,True,11,1,11.5
info_gain_ask,3,2.0,3,7,True,12,2,13.0
info_gain_ask,3,2.0,3,8,True,11,1,11.5
info_gain_ask,3,2.0,3,9,True,10,1,10.5
info_gain_ask,3,2.0,3,10,True,7,2,8.0
info_gain_ask,3,2.0,3,11,False,15,2,16.0
info_gain_ask,3,2.0,3,12,True,11,2,12.0
info_gain_ask,3,2.0,3,13,True,11,2,12.0
info_gain_ask,3,2.0,3,14,True,5,1,5.5
info_gain_ask,3,2.0,3,15,True,8,2,9.0
info_gain_ask,3,2.0,3,16,True,12,2,13.0
info_gain_ask,3,2.0,3,17,True,5,2,6.0
info_gain_ask,3,2.0,3,18,True,8,1,8.5
info_gain_ask,3,2.0,3,19,True,10,2,11.0
info_gain_ask,3,2.0,4,0,True,4,1,4.5
info_gain_ask,3,2.0,4,1,True,7,2,8.0
info_gain_ask,3,2.0,4,2,True,5,1,5.5
info_gain_ask,3,2.0,4,3,True,12,1,12.5
info_gain_ask,3,2.0,4,4,True,10,1,10.5
info_gain_ask,3,2.0,4,5,True,13,2,14.0
info_gain_ask,3,2.0,4,6,False,12,1,12.5
info_gain_ask,3,2.0,4,7,True,4,2,5.0
info_gain_ask,3,2.0,4,8,False,12,2,13.0
info_gain_ask,3,2.0,4,9,True,5,2,6.0
info_gain_ask,3,2.0,4,10,True,10,1,10.5
info_gain_ask,3,2.0,4,11,True,8,1,8.5
info_gain_ask,3,2.0,4,12,True,4,2,5.0
info_gain_ask,3,2.0,4,13,True,4,2,5.0
info_gain_ask,3,2.0,4,14,True,8,1,8.5
info_gain_ask,3,2.0,4,15,True,11,1,11.5
info_gain_ask,3,2.0,4,16,True,15,2,16.0
