policy,K,action_drop_rate,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
info_gain_ask,3,0.0,3,3,True,7,2,3.0,8.0
info_gain_ask,3,0.0,3,4,True,11,1,2.5,11.5
info_gain_ask,3,0.0,3,5,True,4,2,3.0,5.0
info_gain_ask,3,0.0,3,6,True,8,1,1.5,8.5
info_gain_ask,3,0.0,3,7,True,7,2,3.0,8.0
info_gain_ask,3,0.0,3,8,True,6,2,3.0,7.0
info_gain_ask,3,0.0,3,9,True,7,1,1.5,7.5
info_gain_ask,3,0.0,3,10,True,13,2,5.0,14.0
info_gain_ask,3,0.0,3,11,True,7,1,1.5,7.5
info_gain_ask,3,0.0,3,12,True,6,2,3.0,7.0
info_gain_ask,3,0.0,3,13,True,14,2,4.0,15.0
info_gain_ask,3,0.0,3,14,True,7,2,3.0,8.0
info_gain_ask,3,0.0,3,15,False,11,1,5.5,11.5
info_gain_ask,3,0.0,3,16,True,9,2,3.0,10.0
info_gain_ask,3,0.0,3,17,False,9,1,5.5,9.5
info_gain_ask,3,0.0,3,18,True,4,2,3.0,5.0
info_gain_ask,3,0.0,3,19,True,11,2,4.0,12.0
info_gain_ask,3,0.0,4,0,True,10,2,4.0,11.0
info_gain_ask,3,0.0,4,1,True,5,2,3.0,6.0
info_gain_ask,3,0.0,4,2,True,9,2,3.0,10.0
info_gain_ask,3,0.0,4,3,True,9,1,1.5,9.5
info_gain_ask,3,0.0,4,4,True,13,1,3.5,13.5
info_gain_ask,3,0.0,4,5,False,10,1,5.5,10.5
info_gain_ask,3,0.0,4,6,True,5,1,1.5,5.5
info_gain_ask,3,0.0,4,7,True,11,2,4.0,12.0
info_gain_ask,3,0.0,4,8,True,14,2,3.0,15.0
info_gain_ask,3,0.0,4,9,True,6,1,1.5,6.5
info_gain_ask,3,0.0,4,10,True,9,2,6.0,10.0
info_gain_ask,3,0.0,4,11,True,8,2,3.0,9.0
info_gain_ask,3,0.0,4,12,True,11,1,1.5,11.5
info_gain_ask,3,0.0,4,13,True,9,1,2.5,9.5
info_gain_ask,3,0.0,4,14,True,12,1,2.5,12.5
info_gain_ask,3,0.0,4,15,True,12,2,4.0,13.0
info_gain_ask,3,0.0,4,16,True,11,1,1.5,11.5
info_gain_ask,3,0.0,4,17,True,5,2,3.0,6.0
info_gain_ask,3,0.0,4,18,True,10,2,4.0,11.0
info_gain_ask,3,0.0,4,19,True,12,1,2.5,12.5
ask_or_act,3,0.2,0,0,True,13,1,1.5,13.5
ask_or_act,3,0.2,0,1,True,3,0,0.0,3.0
ask_or_act,3,0.2,0,2,True,11,1,1.5,11.5
ask_or_act,3,0.2,0,3,True,2,0,0.0,2.0
ask_or_act,3,0.2,0,4,True,5,0,1.0,5.0
ask_or_act,3,0.2,0,5,True,10,1,2.5,10.5
ask_or_act,3,0.2,0,6,True,4,0,0.0,4.0
ask_or_act,3,0.2,0,7,False,14,2,6.0,15.0
ask_or_act,3,0.2,0,8,True,8,1,1.5,8.5
