policy,K,rep_seed,episode_id,success,steps,questions_asked,team_cost
random_ask,2,1,10,True,6,1,6.5
random_ask,2,1,11,False,11,2,12.0
random_ask,2,1,12,True,10,1,10.5
random_ask,2,1,13,True,4,1,4.5
random_ask,2,1,14,True,10,1,10.5
random_ask,2,1,15,True,12,3,13.5
random_ask,2,1,16,True,11,1,11.5
random_ask,2,1,17,True,10,1,10.5
random_ask,2,1,18,True,5,2,6.0
random_ask,2,1,19,True,10,3,11.5
random_ask,2,2,0,True,9,1,9.5
random_ask,2,2,1,True,4,2,5.0
random_ask,2,2,2,True,10,1,10.5
random_ask,2,2,3,True,11,1,11.5
random_ask,2,2,4,True,10,3,11.5
random_ask,2,2,5,True,13,1,13.5
random_ask,2,2,6,True,14,2,15.0
random_ask,2,2,7,True,7,2,8.0
random_ask,2,2,8,True,8,1,8.5
random_ask,2,2,9,True,4,1,4.5
random_ask,2,2,10,True,10,3,11.5
random_ask,2,2,11,True,6,2,7.0
random_ask,2,2,12,True,16,3,17.5
random_ask,2,2,13,True,8,1,8.5
random_ask,2,2,14,True,5,3,6.5
random_ask,2,2,15,True,13,1,13.5
random_ask,2,2,16,True,10,2,11.0
random_ask,2,2,17,True,6,3,7.5
random_ask,2,2,18,True,12,2,13.0
random_ask,2,2,19,True,13,2,14.0
random_ask,2,3,0,True,7,2,8.0
random_ask,2,3,1,True,5,1,5.5
random_ask,2,3,2,True,8,2,9.0
random_ask,2,3,3,True,4,2,5.0
random_ask,2,3,4,True,7,2,8.0
random_ask,2,3,5,True,15,2,16.0
random_ask,2,3,6,True,9,1,9.5
random_ask,2,3,7,True,11,3,12.5
random_ask,2,3,8,True,11,1,11.5
random_ask,2,3,9,True,12,1,12.5
random_ask,2,3,10,True,8,1,8.5
random_ask,2,3,11,True,7,2,8.0
random_ask,2,3,12,True,14,3,15.5
random_ask,2,3,13,True,12,2,13.0
random_ask,2,3,14,True,3,1,3.5
random_ask,2,3,15,True,9,3,10.5
random_ask,2,3,16,True,5,3,6.5
random_ask,2,3,17,True,3,1,3.5
random_ask,2,3,18,True,11,1,11.5
random_ask,2,3,19,True,14,1,14.5
random_ask,2,4,0,True,6,2,7.0
random_ask,2,4,1,True,13,2,14.0
random_ask,2,4,2,True,13,1,13.5
random_ask,2,4,3,True,11,3,12.5
random_ask,2,4,4,True,6,3,7.5
random_ask,2,4,5,True,5,2,6.0
random_ask,2,4,6,True,13,1,13.5
random_ask,2,4,7,True,12,3,13.5
random_ask,2,4,8,False,15,1,15.5
random_ask,2,4,9,True,6,1,6.5
random_ask,2,4,10,True,7,1,7.5
random_ask,2,4,11,True,9,2,10.0
random_ask,2,4,12,True,7,1,7.5
random_ask,2,4,13,True,8,2,9.0
random_ask,2,4,14,True,11,3,12.5
random_ask,2,4,15,True,4,2,5.0
random_ask,2,4,16,True,9,1,9.5
random_ask,2,4,17,True,12,1,12.5
random_ask,2,4,18,True,10,2,11.0
random_ask,2,4,19,False,13,3,14.5
