policy,K,beta,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
info_gain_ask,3,0.5,0,19,False,14,1,5.5,14.5
info_gain_ask,3,0.5,1,0,True,3,1,1.5,3.5
info_gain_ask,3,0.5,1,1,True,12,2,4.0,13.0
info_gain_ask,3,0.5,1,2,True,4,1,1.5,4.5
info_gain_ask,3,0.5,1,3,False,7,1,5.5,7.5
info_gain_ask,3,0.5,1,4,True,14,1,2.5,14.5
info_gain_ask,3,0.5,1,5,True,3,1,1.5,3.5
info_gain_ask,3,0.5,1,6,True,12,2,4.0,13.0
info_gain_ask,3,0.5,1,7,False,10,2,6.0,11.0
info_gain_ask,3,0.5,1,8,False,8,1,5.5,8.5
info_gain_ask,3,0.5,1,9,True,15,2,5.0,16.0
info_gain_ask,3,0.5,1,10,True,7,1,1.5,7.5
info_gain_ask,3,0.5,1,11,True,8,2,3.0,9.0
info_gain_ask,3,0.5,1,12,True,12,1,2.5,12.5
info_gain_ask,3,0.5,1,13,False,11,2,6.0,12.0
info_gain_ask,3,0.5,1,14,True,5,2,3.0,6.0
info_gain_ask,3,0.5,1,15,True,10,2,4.0,11.0
info_gain_ask,3,0.5,1,16,True,5,2,3.0,6.0
info_gain_ask,3,0.5,1,17,False,12,2,6.0,13.0
info_gain_ask,3,0.5,1,18,True,9,1,1.5,9.5
info_gain_ask,3,0.5,1,19,True,15,1,5.5,15.5
info_gain_ask,3,0.5,2,0,True,12,1,2.5,12.5
info_gain_ask,3,0.5,2,1,True,5,2,3.0,6.0
info_gain_ask,3,0.5,2,2,True,10,2,4.0,11.0
info_gain_ask,3,0.5,2,3,False,11,1,5.5,11.5
info_gain_ask,3,0.5,2,4,True,4,2,3.0,5.0
info_gain_ask,3,0.5,2,5,True,7,1,1.5,7.5
info_gain_ask,3,0.5,2,6,True,4,2,3.0,5.0
info_gain_ask,3,0.5,2,7,True,13,2,4.0,14.0
info_gain_ask,3,0.5,2,8,True,3,1,1.5,3.5
info_gain_ask,3,0.5,2,9,True,8,2,4.0,9.0
info_gain_ask,3,0.5,2,10,True,12,1,2.5,12.5
